City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed
lubbock,1,US,1561478929,54,33.58,81.0,14.99
dovers,40,VC,1561479002,74,12.88,84.2,6.93
carutapera,8,BR,1561479003,89,-1.2,80.87,7.2
cascais,75,PT,1561479003,56,38.7,78.8,8.05
pandaria,89,IN,1561479003,63,22.22,84.11,3.85
naryan-mar,100,RU,1561479004,74,67.67,47.75,19.1
ishigaki,96,JP,1561479004,78,24.34,82.67,4.47
camopi,20,GF,1561479005,56,3.17,86.63,4.23
palestine,1,US,1561479005,74,31.76,84.99,10.29
eyemouth,100,GB,1561479005,100,55.87,60.01,12.75
hearst,100,CA,1561479005,93,49.69,56.03,10.02
maniitsoq,100,GL,1561479006,95,65.42,40.73,12.08
tilichiki,74,RU,1561478914,97,60.47,43.97,2.66
henties bay,53,NA,1561479007,89,-22.12,55.0,8.01
iturama,0,BR,1561478981,40,-19.73,82.31,11.74
coahuayana,97,MX,1561478792,82,18.62,77.45,1.92
churapcha,32,RU,1561479057,80,62.0,53.15,5.12
arenillas,75,EC,1561479057,78,-3.56,89.6,3.36
valparaiso,1,US,1561478906,31,41.47,81.0,8.05
zafarabad,0,UZ,1561479057,12,40.39,88.79,5.66
alugan,100,PH,1561479058,95,12.22,76.37,3.04
ntchisi,0,MW,1561479058,73,-13.36,69.8,13.87
vezirkopru,40,TR,1561479058,42,41.14,82.4,20.8
komsomolskiy,94,RU,1561479058,85,67.55,39.47,14.32
omsukchan,26,RU,1561479058,86,62.53,41.63,0.85
verkhnyaya toyma,87,RU,1561479058,47,62.24,55.49,4.52
ugoofaaru,66,MV,1561478613,77,5.67,84.11,12.48
srednekolymsk,13,RU,1561479058,43,67.46,62.87,4.34
syava,16,RU,1561479059,49,58.01,63.77,7.87
ambon,75,FR,1561478613,73,47.55,75.99,4.7
saint anthony,40,US,1561479059,52,43.97,64.99,9.17
raudeberg,75,NO,1561479059,87,61.99,59.0,8.05
nelson bay,90,AU,1561479059,100,-32.72,57.0,9.17
caucaia,20,BR,1561479059,58,-3.73,86.0,18.34
chulman,0,RU,1561479060,91,56.84,47.03,2.66
kurchum,0,KZ,1561478525,68,48.57,59.99,10.76
pacifica,90,US,1561479060,87,37.61,66.2,3.36
toamasina,20,MG,1561479060,88,-18.17,71.6,2.3
mobile,40,US,1561478796,63,30.69,91.99,3.36
taoudenni,0,ML,1561479060,3,22.68,117.77,13.51
vanimo,10,PG,1561478558,78,-2.67,83.21,7.09
ensley,75,US,1561479060,61,33.51,84.99,9.17
baghdad,0,IQ,1561479061,12,33.3,113.0,16.11
aloleng,100,PH,1561479061,72,16.13,86.63,10.02
broome,20,GB,1561479061,77,52.47,75.99,8.05
nadym,81,RU,1561479061,49,65.53,51.35,12.44
oltu,0,TR,1561479061,46,40.55,75.83,6.89
kruisfontein,84,ZA,1561479062,89,-34.0,53.51,13.65
pochutla,75,MX,1561479062,69,15.74,87.01,4.03
namibe,20,AO,1561479062,68,-15.19,71.6,14.99
bletchley,90,GB,1561478921,93,51.99,73.0,10.29
isangel,75,VU,1561478734,78,-19.55,77.0,17.22
nisia floresta,40,BR,1561479062,62,-6.09,86.0,13.87
zhangye,100,CN,1561479062,67,38.94,62.51,0.2
ouesso,100,CG,1561478834,54,1.61,86.27,2.66
mo i rana,20,NO,1561479063,45,66.32,62.6,9.17
sanghar,20,PK,1561479063,50,28.18,98.6,9.17
kerouane,0,GN,1561479063,41,12.23,96.8,4.7
hay river,40,CA,1561479063,77,60.82,59.0,6.93
cabra,0,ES,1561479063,29,37.47,96.8,9.17
atar,0,MR,1561479064,6,20.52,112.91,16.78
gizo,0,IL,1561478915,58,31.8,87.01,9.17
soure,20,PT,1561479114,60,40.06,80.01,8.05
alta floresta,0,BR,1561479114,33,-9.87,91.4,5.82
aneho,85,TG,1561479114,84,6.23,77.09,7.58
sobolevo,78,RU,1561478621,67,54.43,69.71,6.29
puerto cabezas,75,NI,1561479114,88,14.04,77.0,4.7
